"지점명","평균기온","일강수량"
강화,-3.6,8.4
강화,-4.2,0.1
강화,-4.5,
강화,-4.6,
강화,-4.7,
강화,-4.7,0.7
강화,-4.9,
강화,-5,3.2
강화,-5.3,
강화,-5.3,
강화,-5.5,
강화,-5.5,1.5
강화,-6,
강화,-6.2,
강화,-6.4,
강화,-6.7,
강화,-6.8,
강화,-7.3,
강화,-7.7,
강화,-8,0
강화,-8.1,
강화,-8.2,1
강화,-8.3,
강화,-8.8,
강화,-9.1,
강화,0.1,
강화,0.7,
강화,0.8,
강화,0.8,
강화,0.8,
강화,0.8,
강화,0.8,
강화,1,
강화,1,0
강화,1.2,
강화,1.2,0
강화,1.4,
강화,1.5,
강화,1.6,
강화,1.7,
강화,10,
강화,10,
강화,10,
강화,10.1,
강화,10.1,29.6
강화,10.2,
강화,10.2,
강화,10.2,
강화,10.2,
강화,10.3,0.3
강화,10.3,1.3
강화,10.3,11.6
강화,10.3,3.5
강화,10.4,
강화,10.6,2.4
강화,11,
강화,11.1,
강화,11.2,
강화,11.3,0.2
강화,11.4,
강화,11.4,
강화,11.5,
강화,11.5,
강화,11.5,
강화,11.5,
강화,11.6,
강화,11.7,
강화,11.7,
강화,11.8,
강화,11.8,
강화,12,
강화,12.1,
강화,12.1,
강화,12.2,0.6
강화,12.5,
강화,12.5,
강화,12.5,49.5
강화,12.6,
강화,12.7,
강화,12.7,29.2
강화,12.7,46.9
강화,12.9,
강화,12.9,9.5
강화,13.3,
강화,13.3,3.5
강화,13.4,
강화,13.7,1
강화,14.1,
강화,14.2,0.5
강화,14.3,
강화,14.3,2
강화,14.4,7.3
강화,14.8,
강화,15,1.1
강화,15.2,13.1
강화,15.3,18.4
강화,15.7,
강화,15.7,5.8
강화,15.9,0
강화,16,
강화,16.1,
강화,16.2,0
강화,16.4,
강화,16.4,
강화,16.4,45
강화,16.5,
강화,16.5,
강화,16.6,1.4
강화,16.6,76
강화,16.9,
강화,17.1,0.1
강화,17.2,3.6
강화,17.3,10.6
강화,17.5,
강화,17.5,1.7
강화,17.5,2.3
강화,17.7,
강화,17.8,4.8
강화,17.9,0
강화,18.1,
강화,18.1,0.9
강화,18.2,0.7
강화,18.3,
강화,18.5,
강화,18.5,
강화,18.5,
강화,18.6,0
강화,18.8,
강화,18.8,
강화,18.9,8.2
강화,19.1,
강화,19.2,9.8
강화,19.3,0
강화,19.3,19
강화,19.4,21.9
강화,19.4,8.3
강화,19.5,
강화,19.5,3.7
강화,19.7,
강화,19.7,43.4
강화,19.9,
강화,19.9,0
강화,2.1,
강화,2.1,0
강화,2.2,
강화,2.2,
강화,2.4,0.2
강화,2.5,
강화,2.6,0.2
강화,2.8,
강화,20,
강화,20,
강화,20,0
강화,20,1.5
강화,20,15.6
강화,20.1,
강화,20.1,
강화,20.2,
강화,20.3,
강화,20.3,0
강화,20.4,
강화,20.6,
강화,20.6,
강화,20.7,0.2
강화,20.8,
강화,21,
강화,21,
강화,21,16.1
강화,21,3.5
강화,21.1,
강화,21.1,0.7
강화,21.1,1.4
강화,21.1,18
강화,21.3,
강화,21.3,0
강화,21.3,1.1
강화,21.5,
강화,21.5,
강화,21.5,
강화,21.5,79.6
강화,21.6,
강화,21.6,
강화,21.6,11.4
강화,21.8,
강화,21.8,
강화,22,
강화,22,0
강화,22.1,
강화,22.1,
강화,22.1,0
강화,22.2,
강화,22.2,63.1
강화,22.2,7.2
강화,22.5,
강화,22.5,
강화,22.7,
강화,22.7,
강화,22.7,0.7
강화,22.8,
강화,22.8,0
강화,22.8,5.5
강화,22.9,46.8
강화,23,4.8
강화,23.2,
강화,23.2,
강화,23.2,0.2
강화,23.3,
강화,23.3,
강화,23.4,
강화,23.4,
강화,23.4,20.8
강화,23.5,
강화,23.5,11
강화,23.6,
강화,23.6,2.5
강화,23.8,0.2
강화,23.8,0.8
강화,23.9,0.2
강화,24,
강화,24.1,
강화,24.1,0
강화,24.1,1.4
강화,24.2,
강화,24.3,
강화,24.4,2.1
강화,24.6,0
강화,24.8,22.4
강화,24.9,0.5
강화,25.1,
강화,25.1,
강화,25.1,5.3
강화,25.2,1.8
강화,25.3,
강화,25.3,
강화,25.4,
강화,25.6,
강화,25.6,
강화,25.8,
강화,25.8,
강화,25.9,
강화,26.1,
강화,26.1,0.9
강화,26.1,5.9
강화,26.4,
강화,26.5,
강화,26.7,0.9
강화,26.8,
강화,26.9,
강화,27.1,
강화,27.2,
강화,27.3,
강화,27.4,
강화,27.5,
강화,27.7,
강화,27.9,
강화,27.9,
강화,28.3,
강화,28.3,
강화,28.4,
강화,28.5,
강화,28.5,
강화,28.7,
강화,28.8,
강화,28.8,
강화,3.1,
강화,3.2,
강화,3.2,0
강화,3.4,
강화,3.4,55.6
강화,3.4,8.1
강화,3.5,
강화,3.5,
강화,3.5,
강화,3.5,0.2
강화,3.7,
강화,3.7,0.1
강화,3.8,
강화,3.8,0.4
강화,3.8,0.5
강화,4,0.8
강화,4.1,
강화,4.3,
강화,4.3,
강화,4.5,
강화,4.5,
강화,4.7,
강화,4.8,
강화,4.9,
강화,4.9,
강화,5,
강화,5,
강화,5.2,
강화,5.3,
강화,5.3,0
강화,5.4,
강화,5.5,
강화,5.5,
강화,5.5,
강화,5.5,0.1
강화,5.8,
강화,5.8,
강화,5.8,16.4
강화,5.9,
강화,6,2.4
강화,6.3,
강화,6.3,
강화,6.3,
강화,6.4,
강화,6.4,
강화,6.5,0.2
강화,6.6,
강화,6.6,
강화,6.6,0.6
강화,6.8,
강화,6.9,
강화,7.1,
강화,7.2,
강화,7.2,
강화,7.2,
강화,7.3,
강화,7.5,
강화,7.6,0.3
강화,7.7,
강화,7.7,
강화,7.7,8
강화,7.8,
강화,8,
강화,8,0.7
강화,8.1,
강화,8.2,
강화,8.4,22.8
강화,8.4,4.5
강화,8.5,
강화,8.5,0.1
강화,8.5,11.6
강화,8.8,
강화,9,
강화,9,
강화,9.1,
강화,9.2,0.1
강화,9.5,
강화,9.5,5.4
강화,9.6,
강화,9.6,
강화,9.7,1.7
강화,9.9,0
거제,-0.2,
거제,-0.6,
거제,-0.7,
거제,-0.8,
거제,-1,
거제,-1.1,
거제,-1.1,
거제,-1.2,
거제,-2.3,
거제,-2.3,
거제,-3.7,
거제,-4.3,
거제,-5.1,
거제,-6.2,
거제,0.3,
거제,0.5,
거제,0.6,
거제,0.7,
거제,0.7,
거제,1,
거제,1,
거제,1.6,
거제,1.6,
거제,1.8,
거제,10,
거제,10.1,
거제,10.1,0
거제,10.1,0
거제,10.2,
거제,10.2,0.1
거제,10.2,50.5
거제,10.3,
거제,10.3,
거제,10.3,
거제,10.3,
거제,10.3,
거제,10.3,0
거제,10.3,80.6
거제,10.5,
거제,10.6,
거제,10.6,0.7
거제,10.7,
거제,10.7,
거제,10.7,
거제,10.8,
거제,10.8,
거제,10.8,
거제,10.9,
거제,11,
거제,11,
거제,11.2,
거제,11.2,3.4
거제,11.4,
거제,11.4,
거제,11.5,15.9
거제,11.6,
거제,11.6,
거제,11.7,
거제,11.7,15.2
거제,11.8,
거제,11.8,0.1
거제,12,
거제,12.2,
거제,12.2,2
거제,12.2,40.1
거제,12.3,0
거제,12.6,
거제,12.7,
거제,12.8,
거제,13,
거제,13,
거제,13.1,
거제,13.1,
거제,13.3,
거제,13.3,24.9
거제,13.4,
거제,13.4,
거제,13.5,
거제,13.5,
거제,13.6,
거제,13.6,
거제,13.7,
거제,13.7,
거제,13.7,0
거제,13.8,
거제,13.8,
거제,13.8,
거제,14,
거제,14,
거제,14,38.7
거제,14.1,
거제,14.1,
거제,14.3,
거제,14.3,
거제,14.3,42.8
거제,14.4,
거제,14.5,
거제,14.6,
거제,14.6,
거제,14.6,
거제,14.6,
거제,14.9,
거제,14.9,
거제,14.9,
거제,15,
거제,15.1,6.6
거제,15.3,
거제,15.4,8.1
거제,15.5,24.3
거제,15.6,
거제,15.6,
거제,15.6,15
거제,15.7,
거제,16.2,
거제,16.2,0
거제,16.3,0
거제,16.3,64.4
거제,16.5,
거제,16.5,
거제,16.5,1.1
거제,16.7,
거제,16.7,4.9
거제,16.8,
거제,16.8,0
거제,17,2.9
거제,17,26.5
거제,17.2,41.3
거제,17.3,0
거제,17.4,0
거제,17.5,
거제,17.6,
거제,17.6,
거제,17.7,
거제,17.7,5.4
거제,18,3.8
거제,18.5,
거제,18.6,
거제,18.6,0.1
거제,18.8,
거제,18.8,0.5
거제,18.9,1.8
거제,19,16.8
거제,19.2,
거제,19.3,34
거제,19.4,
거제,19.5,
거제,19.7,
거제,19.9,
거제,19.9,
거제,2.1,
거제,2.2,
거제,2.3,
거제,2.4,0
거제,2.5,
거제,20,0
거제,20,1.3
거제,20.1,
거제,20.1,12.3
거제,20.2,
거제,20.2,3.6
거제,20.4,
거제,20.4,2.9
거제,20.5,
거제,20.5,51.6
거제,20.7,0
거제,20.7,68.1
거제,20.8,64.5
거제,20.9,
거제,20.9,0.6
거제,21,
거제,21,1.2
거제,21.1,
거제,21.1,
거제,21.2,
거제,21.2,2.3
거제,21.2,32
거제,21.3,
거제,21.3,
거제,21.3,
거제,21.3,122.3
거제,21.3,52.1
거제,21.4,12.1
거제,21.5,1
거제,21.6,
거제,21.6,
거제,21.6,0.3
거제,21.7,
거제,21.7,0.6
거제,21.7,2.1
거제,21.8,
거제,21.8,
거제,21.8,
거제,21.8,
거제,21.8,6.6
거제,21.9,0.4
거제,22,2.2
거제,22.1,
거제,22.1,0.2
거제,22.2,
거제,22.2,1.3
거제,22.3,
거제,22.3,45.7
거제,22.4,
거제,22.4,
거제,22.6,
거제,22.7,0.1
거제,22.7,11.8
거제,22.8,
거제,22.9,
거제,22.9,
거제,22.9,
거제,22.9,2.1
거제,23,
거제,23,
거제,23,
거제,23.1,
거제,23.2,
거제,23.2,
거제,23.2,22
거제,23.2,77.5
거제,23.3,
거제,23.3,
거제,23.3,5.1
거제,23.4,
거제,23.4,
거제,23.4,0.1
거제,23.6,
거제,23.6,
거제,23.6,35.7
거제,23.6,96.5
거제,23.8,
거제,23.8,
거제,23.8,0.8
거제,23.9,120.8
거제,24,
거제,24,0
거제,24,2
거제,24.1,
거제,24.3,139.4
거제,24.3,149.3
거제,24.3,85.6
거제,24.4,
거제,24.5,0.9
거제,24.6,0.4
거제,24.7,
거제,24.7,14.7
거제,24.9,0.1
거제,24.9,145.9
거제,24.9,18
거제,25,1
거제,25.2,0.1
거제,25.4,
거제,25.5,4.6
거제,25.6,0.9
거제,25.6,31.4
거제,25.7,
거제,25.8,
거제,25.9,19.8
거제,26,0
거제,26.1,
거제,26.2,
거제,26.2,0
거제,26.2,0
거제,26.3,0.4
거제,26.4,5.5
거제,26.5,
거제,26.5,1.1
거제,26.6,
거제,26.7,
거제,26.8,
거제,26.9,
거제,27,
거제,27,
거제,27,0
거제,27.1,
거제,27.1,
거제,27.2,
거제,27.2,3.5
거제,27.2,47.2
거제,27.3,
거제,27.4,
거제,27.4,1.1
거제,27.5,
거제,27.5,
거제,27.7,
거제,27.8,
거제,27.8,
거제,28.1,
거제,28.2,
거제,28.5,
거제,28.8,0.4
거제,29,
거제,3.1,
거제,3.1,
거제,3.2,
거제,3.4,
거제,3.5,
거제,3.7,
거제,3.7,
거제,3.8,
거제,4.2,
거제,4.5,
거제,4.6,
거제,4.6,
거제,4.6,
거제,4.7,
거제,5.2,
거제,5.3,
거제,5.4,
거제,5.5,
거제,5.8,
거제,5.9,
거제,5.9,
거제,6,13.3
거제,6,2.8
거제,6.2,
거제,6.2,
거제,6.3,0.2
거제,6.4,16.8
거제,6.5,
거제,6.6,
거제,6.6,
거제,6.7,
거제,6.8,
거제,7.1,
거제,7.1,
거제,7.1,5
거제,7.1,6
거제,7.2,
거제,7.3,
거제,7.5,
거제,7.6,
거제,7.9,
거제,7.9,
거제,7.9,
거제,8,
거제,8,3.9
거제,8.1,
거제,8.1,
거제,8.2,
거제,8.2,
거제,8.3,
거제,8.5,
거제,8.5,
거제,8.5,1.1
거제,8.6,
거제,8.8,2.1
거제,8.9,
거제,9,
거제,9,
거제,9.3,
거제,9.4,
거제,9.4,
거제,9.4,9.1
거제,9.5,
거제,9.5,32
거제,9.6,
거제,9.7,16.8
거제,9.8,
거제,9.8,0.2
거제,9.8,13
거제,9.9,
거제,9.9,
거제,9.9,
거제,9.9,
거창,,
거창,,
거창,-0.2,
거창,-0.6,
거창,-0.6,0
거창,-0.7,0
거창,-0.8,
거창,-0.9,0
거창,-1.2,
거창,-1.2,0
거창,-1.2,1.3
거창,-1.3,
거창,-1.6,
거창,-10.2,0.2
거창,-11.8,
거창,-2.1,1.5
거창,-2.2,
거창,-2.2,
거창,-2.5,
거창,-2.6,0
거창,-2.7,
거창,-2.8,0
거창,-2.9,0
거창,-3.1,
거창,-3.2,0
거창,-3.3,0
거창,-4.3,
거창,-4.4,
거창,-4.8,
거창,-5.2,0
거창,-5.8,
거창,-5.8,0
거창,-5.9,
거창,-7.5,
거창,-9,
거창,0.1,
거창,0.2,
거창,0.2,
거창,0.3,0
거창,0.4,
거창,0.5,1.2
거창,0.8,0
거창,1,
거창,1.1,
거창,1.4,
거창,1.7,0
거창,1.9,0.9
거창,10,
거창,10,24.8
거창,10.1,
거창,10.1,18.1
